offspring	mom	dad	mom.mm	dad.mm	year	off.age	return.year
MR11_048	MR07_809	MR07_781	0	0	2007	4	2011
MR11_049	MR07_796	MR07_227	0	1	2007	4	2011
MR11_050	UK	UK	mp	mp	mp	mp	2011
MR11_051	MR07_426	MR07_106	0	0	2007	4	2011
MR11_052	UK	UK	mp	mp	mp	mp	2011
MR11_053	UK	UK	mp	mp	mp	mp	2011
MR11_054	MR07_373	UK	1	mp	2007	4	2011
MR11_055	UK	UK	mp	mp	mp	mp	2011
MR11_056	UK	UK	mp	mp	mp	mp	2011
MR11_057	UK	UK	mp	mp	mp	mp	2011
MR11_058	UK	MR07_097	3	0	2007	4	2011
MR11_059	UK	UK	mp	mp	mp	mp	2011
MR11_060	UK	UK	mp	mp	mp	mp	2011
MR11_061	UK	UK	mp	2	mp	mp	2011
MR11_062	MR07_395	MR07_547	0	0	2007	4	2011
MR11_063	MR07_271	MR07_592	0	1	2007	4	2011
MR11_064	UK	UK	mp	mp	mp	mp	2011
MR11_065	MR07_516	MR07_186	1	1	2007	4	2011
MR11_066	UK	UK	mp	mp	mp	mp	2011
MR11_067	UK	UK	mp	mp	mp	mp	2011
MR11_068	UK	UK	mp	mp	mp	mp	2011
MR11_069	UK	UK	mp	mp	mp	mp	2011
MR11_070	MR07_045	UK	1	mp	2007	4	2011
MR11_071	UK	UK	mp	mp	mp	mp	2011
MR11_072	MR07_202	MR07_444	0	0	2007	4	2011
MR11_073	UK	UK	mp	mp	mp	mp	2011
MR11_074	UK	UK	mp	mp	mp	mp	2011
MR11_075	MR07_024	MR07_404	1	0	2007	4	2011
MR11_076	MR07_084	MR07_112	1	0	2007	4	2011
MR11_077	MR07_016	MR07_627	0	0	2007	4	2011
MR11_078	MR07_155	MR07_434	0	1	2007	4	2011
MR11_079	MR07_016	MR07_266	0	0	2007	4	2011
MR11_080	UK	UK	mp	mp	mp	mp	2011
MR11_081	MR07_191	MR07_156	0	1	2007	4	2011
MR11_082	MR08_121	MR08_564	0	0	2008	3	2011
