offspring	mom	dad	mom.mm	dad.mm	year	off.age	return.year
MRA15_0184	UK	UK	mp	mp	mp	mp	2015
MRA15_0185	UK	UK	mp	mp	mp	mp	2015
MRA15_0188	UK	UK	mp	mp	mp	mp	2015
MRA15_0189	UK	UK	mp	mp	mp	mp	2015
MRA15_0190	UK	UK	mp	mp	mp	mp	2015
MRA15_0193	MR11_358	MR11_312	0	0	2011	4	2015
MRA15_0195	UK	UK	mp	mp	mp	mp	2015
MRA15_0196	MR11_197	UK	0	mp	2010	5	2015
MRA15_0197	UK	UK	mp	mp	mp	mp	2015
MRA15_0198	UK	MR11_373	mp	0	2011	4	2015
MRA15_0201	UK	UK	mp	mp	mp	mp	2015
MRA15_0202	UK	UK	mp	mp	mp	mp	2015
MRA15_0203	UK	UK	mp	mp	mp	mp	2015
MRA15_0205	UK	UK	mp	mp	mp	mp	2015
MRA15_0206	UK	UK	mp	mp	mp	mp	2015
MRA15_0208	UK	UK	mp	mp	mp	mp	2015
MRA15_0211	MR12TH_117	UK	1	mp	2012	3	2015
MRA15_0212	MR11A_295	MR11A_229	0	0	2011	4	2015
MRA15_0213	MR11_239	MR11_249	0	0	2011	4	2015
MRA15_0214	UK	UK	mp	mp	mp	mp	2015
MRA15_0217	UK	UK	mp	mp	mp	mp	2015
MRA15_0218	UK	MR09A_1325	mp	1	2009	6	2015
MRA15_0219	UK	UK	mp	mp	mp	mp	2015
MRA15_0220	UK	UK	mp	mp	mp	mp	2015
MRA15_0221	UK	UK	mp	mp	mp	mp	2015
MRA15_0222	UK	UK	mp	mp	mp	mp	2015
MRA15_0223	UK	UK	mp	mp	mp	mp	2015
MRA15_0224	UK	MR11_373	mp	0	2011	4	2015
MRA15_0225	UK	UK	mp	mp	mp	mp	2015
MRA15_0226	UK	UK	mp	mp	mp	mp	2015
MRA15_0227	UK	UK	mp	mp	mp	mp	2015
MRA15_0229	UK	UK	mp	mp	mp	mp	2015
MRA15_0230	UK	UK	mp	mp	mp	mp	2015
MRA15_0231	UK	UK	mp	mp	mp	mp	2015
MRA15_0234	UK	UK	mp	mp	mp	mp	2015
MRA15_0235	UK	UK	mp	mp	mp	mp	2015
MRA15_0236	UK	UK	mp	mp	mp	mp	2015
MRA15_0237	UK	UK	mp	mp	mp	mp	2015
MRA15_0238	UK	UK	mp	mp	mp	mp	2015
MRA15_0239	UK	UK	mp	mp	mp	mp	2015
MRA15_0240	UK	UK	mp	mp	mp	mp	2015
MRA15_0241	MR10A_023	MR10TH_226	0	0	2010	5	2015
MRA15_0242	UK	UK	mp	mp	mp	mp	2015
MRA15_0243	UK	UK	mp	mp	mp	mp	2015
MRA15_0244	MR11A_052	MR11_248	0	0	2011	4	2015
MRA15_0245	UK	UK	mp	mp	mp	mp	2015
MRA15_0246	UK	UK	mp	mp	mp	mp	2015
MRA15_0247	UK	UK	mp	mp	mp	mp	2015
MRA15_0248	UK	UK	mp	mp	mp	mp	2015
MRA15_0249	UK	UK	mp	mp	mp	mp	2015
MRA15_0250	MR11_381	MR11_372	0	0	2011	4	2015
MRA15_0251	UK	UK	mp	mp	mp	mp	2015
MRA15_0252	UK	UK	mp	mp	mp	mp	2015
MRA15_0253	UK	UK	mp	mp	mp	mp	2015
MRA15_0254	UK	UK	mp	mp	mp	mp	2015
MRA15_0255	UK	UK	mp	mp	mp	mp	2015
MRA15_0256	MR11_172	MR11A_137	1	0	2011	4	2015
MRA15_0257	MR12A_366	MR12TH_457	0	0	2012	3	2015
MRA15_0258	UK	UK	mp	mp	mp	mp	2015
MRA15_0259	UK	UK	mp	mp	mp	mp	2015
MRA15_0260	UK	UK	mp	mp	mp	mp	2015
MRSS15_3002	UK	UK	mp	mp	mp	mp	2015
MRSS15_3003	UK	UK	mp	mp	mp	mp	2015
MRSS15_3012	UK	UK	mp	mp	mp	mp	2015
MRSS15_3014	UK	UK	mp	mp	mp	mp	2015
MRSS15_3016	UK	MR12TH_373	mp	1	2012	3	2015
MRSS15_3020	UK	UK	mp	mp	mp	mp	2015
MRSS15_3021	UK	UK	mp	mp	mp	mp	2015
MRSS15_3026	UK	UK	mp	mp	mp	mp	2015
MRSS15_3028	UK	UK	mp	mp	mp	mp	2015
MRSS15_3035	UK	UK	mp	mp	mp	mp	2015
MRSS15_3039	UK	UK	mp	mp	mp	mp	2015
MRSS15_3040	UK	UK	mp	mp	mp	mp	2015
MRSS15_3045	UK	UK	mp	mp	mp	mp	2015
MRSS15_3046	UK	UK	mp	mp	mp	mp	2015
MRSS15_3051	UK	UK	mp	mp	mp	mp	2015
MRSS15_3053	UK	UK	mp	mp	mp	mp	2015
MRSS15_3054	UK	UK	mp	mp	mp	mp	2015
MRSS15_3059	MR11_023	MR11_054	0	1	2011	4	2015
MRSS15_3060	UK	UK	mp	mp	mp	mp	2015
MRSS15_3108	UK	UK	mp	mp	mp	mp	2015
MRSS15_3112	UK	UK	mp	mp	mp	mp	2015
MRSS15_3113	UK	UK	mp	mp	mp	mp	2015
MRSS15_3119	UK	UK	mp	mp	mp	mp	2015
