offspring	mom	dad	mom.mm	dad.mm	year	off.age	return.year
MRA14_0138	UK	UK	mp	mp	mp	mp	2014
MRA14_0139	UK	UK	mp	mp	mp	mp	2014
MRA14_0140	UK	UK	mp	mp	mp	mp	2014
MRA14_0141	UK	UK	mp	mp	mp	mp	2014
MRA14_0142	UK	UK	mp	mp	mp	mp	2014
MRA14_0143	UK	UK	mp	mp	mp	mp	2014
MRA14_0145	UK	UK	mp	mp	mp	mp	2014
MRA14_0147	UK	UK	mp	mp	mp	mp	2014
MRA14_0149	UK	UK	mp	mp	mp	mp	2014
MRA14_0151	UK	UK	mp	mp	mp	mp	2014
MRA14_0153	UK	UK	mp	mp	mp	mp	2014
MRA14_0154	UK	UK	mp	mp	mp	mp	2014
MRA14_0155	UK	UK	mp	mp	mp	mp	2014
MRA14_0156	UK	UK	mp	mp	mp	mp	2014
MRA14_0157	UK	UK	mp	mp	mp	mp	2014
MRA14_0158	UK	UK	mp	mp	mp	mp	2014
MRA14_0159	UK	UK	mp	mp	mp	mp	2014
MRA14_0161	UK	UK	mp	mp	mp	mp	2014
MRA14_0163	UK	UK	mp	mp	mp	mp	2014
MRA14_0164	UK	UK	mp	mp	mp	mp	2014
MRA14_0171	UK	UK	mp	mp	mp	mp	2014
MRA14_0172	UK	UK	mp	mp	mp	mp	2014
MRA14_0174	UK	UK	mp	mp	mp	mp	2014
MRA14_0176	UK	UK	mp	mp	mp	mp	2014
MRA14_0177	UK	UK	mp	mp	mp	mp	2014
MRA14_0179	UK	UK	mp	mp	mp	mp	2014
MRA14_0180	UK	UK	mp	mp	mp	mp	2014
MRA14_0181	UK	UK	mp	mp	mp	mp	2014
MRA14_0182	UK	UK	mp	mp	mp	mp	2014
MRA14_0183	UK	UK	mp	mp	mp	mp	2014
MRA14_0186	UK	UK	mp	mp	mp	mp	2014
MRA14_0189	UK	UK	mp	mp	mp	mp	2014
MRA14_0193	UK	UK	mp	mp	mp	mp	2014
MRA14_0195	UK	MR11_340	mp	1	2011	mp	2014
MRA14_0196	UK	UK	mp	mp	mp	mp	2014
MRA14_0197	UK	UK	mp	mp	mp	mp	2014
MRA14_0201	UK	UK	mp	mp	mp	mp	2014
MRA14_0203	UK	UK	mp	mp	mp	mp	2014
MRA14_0204	UK	UK	mp	mp	mp	mp	2014
MRA14_0206	UK	UK	mp	mp	mp	mp	2014
MRA14_0208	UK	UK	mp	mp	mp	mp	2014
MRA14_0209	UK	UK	mp	mp	mp	mp	2014
MRA14_0211	UK	UK	mp	mp	mp	mp	2014
MRA14_0213	UK	UK	mp	mp	mp	mp	2014
MRA14_0214	UK	UK	mp	mp	mp	mp	2014
MRA14_0215	UK	UK	mp	mp	mp	mp	2014
MRA14_0216	UK	UK	mp	mp	mp	mp	2014
MRSS14_2002	UK	UK	mp	mp	mp	mp	2014
MRSS14_2003	UK	UK	mp	mp	mp	mp	2014
MRSS14_2004	UK	UK	mp	mp	mp	mp	2014
MRSS14_2008	UK	UK	mp	mp	mp	mp	2014
MRSS14_2009	UK	UK	mp	mp	mp	mp	2014
MRSS14_2011	UK	UK	mp	mp	mp	mp	2014
MRSS14_2012	UK	UK	mp	mp	mp	mp	2014
MRSS14_2013	UK	UK	mp	mp	mp	mp	2014
MRSS14_2015	UK	UK	mp	mp	mp	mp	2014
MRSS14_2016	UK	UK	mp	mp	mp	mp	2014
MRSS14_2017	UK	UK	mp	mp	mp	mp	2014
MRSS14_2018	UK	UK	mp	mp	mp	mp	2014
MRSS14_2024	UK	UK	mp	mp	mp	mp	2014
MRSS14_2027	UK	UK	mp	mp	mp	mp	2014
MRSS14_2028	UK	UK	mp	mp	mp	mp	2014
MRSS14_2029	UK	UK	mp	mp	mp	mp	2014
MRSS14_2031	UK	UK	mp	mp	mp	mp	2014
MRSS14_2032	UK	UK	mp	mp	mp	mp	2014
MRSS14_2033	UK	UK	mp	mp	mp	mp	2014
MRSS14_2034	UK	UK	mp	mp	mp	mp	2014
MRSS14_2038	UK	UK	mp	mp	mp	mp	2014
MRSS14_2039	UK	UK	mp	mp	mp	mp	2014
MRSS14_2041	UK	UK	mp	mp	mp	mp	2014
MRSS14_2044	UK	UK	mp	mp	mp	mp	2014
MRSS14_2049	UK	UK	mp	mp	mp	mp	2014
MRSS14_2051	UK	UK	mp	mp	mp	mp	2014
MRSS14_2053	UK	UK	mp	mp	mp	mp	2014
MRSS14_2055	UK	UK	mp	mp	mp	mp	2014
MRSS14_2056	UK	UK	mp	mp	mp	mp	2014
MRSS14_2058	UK	UK	mp	mp	mp	mp	2014
MRSS14_2060	UK	UK	mp	mp	mp	mp	2014
MRSS14_2061	UK	UK	mp	mp	mp	mp	2014
MRSS14_2063	UK	UK	mp	mp	mp	mp	2014
MRSS14_2064	UK	MR11_124	mp	1	2011	mp	2014
MRSS14_2065	UK	UK	mp	mp	mp	mp	2014
MRSS14_2070	UK	UK	mp	mp	mp	mp	2014
MRSS14_2077	UK	UK	mp	mp	mp	mp	2014
MRSS14_2078	UK	UK	mp	mp	mp	mp	2014
MRSS14_2081	UK	UK	mp	mp	mp	mp	2014
MRSS14_2082	UK	UK	mp	mp	mp	mp	2014
MRSS14_2083	UK	UK	mp	mp	mp	mp	2014
MRSS14_2084	UK	UK	mp	mp	mp	mp	2014
MRSS14_2085	UK	UK	mp	mp	mp	mp	2014
MRSS14_2086	UK	UK	mp	mp	mp	mp	2014
MRSS14_2087	UK	UK	mp	mp	mp	mp	2014
MRSS14_2088	UK	UK	mp	mp	mp	mp	2014
MRSS14_2089	UK	UK	mp	mp	mp	mp	2014
MRSS14_2092	UK	UK	mp	mp	mp	mp	2014
MRSS14_2094	UK	UK	mp	mp	mp	mp	2014
MRSS14_2096	UK	UK	mp	mp	mp	mp	2014
MRSS14_2098	UK	UK	mp	mp	mp	mp	2014
MRSS14_2102	UK	UK	mp	mp	mp	mp	2014
MRSS14_2104	UK	UK	mp	mp	mp	mp	2014
MRSS14_2111	UK	UK	mp	mp	mp	mp	2014
MRSS14_3006	UK	UK	mp	mp	mp	mp	2014
MRSS14_3007	UK	UK	mp	mp	mp	mp	2014
MRSS14_3008	UK	UK	mp	mp	mp	mp	2014
MRSS14_3009	UK	UK	mp	mp	mp	mp	2014
MRSS14_3015	UK	UK	mp	mp	mp	mp	2014
MRSS14_3016	UK	UK	mp	mp	mp	mp	2014
MRSS14_3018	UK	UK	mp	mp	mp	mp	2014
MRSS14_3021	UK	UK	mp	mp	mp	mp	2014
MRSS14_3024	UK	UK	mp	mp	mp	mp	2014
MRSS14_3027	UK	UK	mp	mp	mp	mp	2014
MRSS14_3028	UK	UK	mp	mp	mp	mp	2014
MRSS14_3034	UK	UK	mp	mp	mp	mp	2014
MRSS14_3037	UK	UK	mp	mp	mp	mp	2014
MRSS14_3040	UK	UK	mp	mp	mp	mp	2014
MRSS14_4095	UK	UK	mp	mp	mp	mp	2014
