Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
OtsAC19SFMK_0002,11,OtsAC15MCKR_0405,9,9,1, 1.08334718910683E+0001, 1.08334718910683E+0001,*,OtsAC16SFMK_1223,11,11,6,-1.32553734711687E+0001, 0.00000000000000E+0000,,11,6, 8.07696960719063E-0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC15MCKR_0405,9,9,1, 1.08334718910683E+0001, 1.08334718910683E+0001,*,OtsAC16MCKR_0071,11,11,6,-1.28231619370826E+0001, 0.00000000000000E+0000,,11,6, 7.59676015018812E-0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC15MCKR_0405,9,9,1, 1.08334718910683E+0001, 1.08334718910683E+0001,*,OtsAC13SFMK_4555,11,11,5,-7.14419682732300E+0000, 0.00000000000000E+0000,,11,6, 2.15560351167182E-0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC15MCKR_0405,9,9,1, 1.08334718910683E+0001, 1.08334718910683E+0001,*,OtsAC15MCKR_0043,9,9,5,-1.18307027416151E+0001, 0.00000000000000E+0000,,11,5, 2.01931386176136E-0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0002,11,OtsAC15MCKR_0405,9,9,1, 1.08334718910683E+0001, 1.08334718910683E+0001,*,OtsAC13SFMK_4070,11,11,6,-1.17279566386059E+0001, 0.00000000000000E+0000,,11,6, 1.62381988569991E-0002, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC14MCKR_0202,11,11,0, 1.61756966602685E+0001, 9.73986626799016E+0000,*,11,0, 4.18688010459546E+0001, 1.19328905843083E+0001,*,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC13SFMK_4697,11,11,2, 6.43583039227830E+0000, 0.00000000000000E+0000,,11,2, 2.99359104616462E+0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC13SFMK_4850,11,11,4,-6.53762038961602E+0000, 0.00000000000000E+0000,,11,4, 1.50155356407647E+0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0035,9,9,3, 4.51553187515062E-0001, 0.00000000000000E+0000,,OtsAC14MCKR_0202,11,11,0, 1.61756966602685E+0001, 9.73986626799016E+0000,*,11,4, 1.40038618343875E+0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC15MCKR_0489,9,9,2, 2.94115896518804E+0000, 0.00000000000000E+0000,,OtsAC14MCKR_0202,11,11,0, 1.61756966602685E+0001, 9.73986626799016E+0000,*,11,4, 1.34202225995195E+0001, 0.00000000000000E+0000,,
