Pedigree Name	Individual Name	MotherID	FatherID	SubBasin	Stream	IndividualSampleLocation	DateSampled	Marks	Gender	LengthFork1	Eggs%	FieldID1	DNA	ScaleNumber	CommentsGeneral	Run	SpeciesID
OtsCC18MCKR	OtsCC18MCKR_4112			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/1/2018	Unclipped	Male	680		4112	Y	18449		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4113			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/1/2018	Unclipped	Female	730	0 - 25%	4113	Y	18446		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4114			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	530		4114	Y	31528		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4115			McKenzie	McKenzie	Rosboro Bridge to Ben & Kay	10/2/2018	Unclipped	Male	650		4115	Y	18450		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4116			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	9/25/2018	Unclipped	Male	500		4116	Y	18453		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4117			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	9/25/2018	Unclipped	Male	600		4117	Y	18454	Only 1 Otolith Taken	Spring	17
OtsCC18MCKR	OtsCC18MCKR_4118			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	9/25/2018	Unclipped	Male	650		4118	Y	18455		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4119			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	9/25/2018	Unclipped	Female	570	25 - 50%	4119	Y	18457		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4120			McKenzie	Horse Creek	Pothole Creek to Trail Bridge	9/26/2018	Unclipped	Female	690	0 - 25%	4120	Y	18559		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4121			McKenzie	McKenzie	Rosboro Bridge to Ben & Kay	9/25/2018	Unclipped	Female	530	0 - 25%	4121	Y	18410		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4122			McKenzie	Horse Creek	Braids to Avenue Creek	9/27/2018	Unclipped	Male	840		4122	Y	30002		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4123			McKenzie	Horse Creek	Avenue Creek to Bridge	9/27/2018	Unclipped	Male	575		4123	Y	18425	Only 1 Otolith Taken	Spring	17
OtsCC18MCKR	OtsCC18MCKR_4125			McKenzie	Horse Creek	Avenue Creek to Bridge	9/27/2018	Unclipped	Male	700		4125	Y	18557		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4126			McKenzie	South Fork McKenzie	Cougar Dam to Bridge	10/2/2018	Unclipped	Male	715		4126	Y	18558		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4127			McKenzie	South Fork McKenzie	Bridge to Mouth	10/2/2018	Unclipped	Male	505		4127	Y	18554		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4129			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Female	745	0 - 25%	4129	Y	30010		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4130			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/8/2018	Unclipped	Male	605		4130	Y	30011		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4131			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/1/2018	Unclipped	Male	565		4131	Y	31545		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4132			McKenzie	McKenzie	McKenzie Trail to McKenzie Bridge	10/1/2018	Unclipped	Female	615	0 - 25%	4132	Y	18456		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4133			McKenzie	McKenzie	McKenzie Trail to McKenzie Bridge	10/1/2018	Unclipped	Female	690	0 - 25%	4133	Y	31541		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4134			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/1/2018	Unclipped	Male	505		4134	Y	31523		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4135			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/1/2018	Unclipped	Male	730		4135	Y	18448		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4136			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	650		4136	Y	31527		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4137			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	770		4137	Y	31561		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4139			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/1/2018	Unclipped	Female	570	0 - 25%	4139	Y	31543		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4141			McKenzie	McKenzie	Paradise to McKenzie Trail	10/1/2018	Unclipped	Male	575		4141	Y	31559		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4144			McKenzie	McKenzie	Olallie Campground to Belknap	10/1/2018	Unclipped	Female	610	0 - 25%	4144	Y	31519		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4145			McKenzie	McKenzie	Olallie Campground to Belknap	10/1/2018	Unclipped	Female	720	0 - 25%	4145	Y	31520		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4146			McKenzie	McKenzie	Olallie Campground to Belknap	10/1/2018	Unclipped	Female	630	0 - 25%	4146	Y	31521		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4148			McKenzie	McKenzie	Olallie Campground to Belknap	10/1/2018	Unclipped	Female	690	0 - 25%	4148	Y	31552		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4149			McKenzie	McKenzie	Olallie Campground to Belknap	10/1/2018	Unclipped	Female	700	0 - 25%	4149	Y	31518		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4150			McKenzie	McKenzie	Olallie Campground to Belknap	10/1/2018	Unclipped	Male	720		4150	Y	31553		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4151			McKenzie	McKenzie	Belknap to Paradise	10/1/2018	Unclipped	Female	715	0 - 25%	4151	Y	31516		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4152			McKenzie	McKenzie	Paradise to McKenzie Trail	10/1/2018	Unclipped	Female	720	0 - 25%	4152	Y	31555		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4153			McKenzie	McKenzie	Rosboro Bridge to Ben & Kay	10/2/2018	Unclipped	Male	530		4153	Y	30070		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4154			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/1/2018	Unclipped	Male	635		4154	Y	31542		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4155			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/1/2018	Unclipped	Male	760		4155	Y	31544		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4156			McKenzie	McKenzie	South Fork McKenzie to Forest Glen	10/1/2018	Unclipped	Male	690		4156	Y	31505	Only 1 Otolith Taken	Spring	17
OtsCC18MCKR	OtsCC18MCKR_4157			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/1/2018	Unclipped	Female	690	0 - 25%	4157	Y	31501		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4158			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/1/2018	Unclipped	Male	610		4158	Y	31502		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4159			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/1/2018	Unclipped	Male	655		4159	Y	31503		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4160			McKenzie	McKenzie	South Fork McKenzie to Forest Glen	10/1/2018	Unclipped	Male	630		4160	Y	31506		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4161			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	730		4161	Y	30064		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4162			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	635		4162	Y	31556		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4163			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Female	585	0 - 25%	4163	Y	31557		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4164			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Female	690	0 - 25%	4164	Y	31581		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4165			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Female	670	0 - 25%	4165	Y	31580		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4166			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	690		4166	Y	31579		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4167			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	595		4167	Y	31578		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4168			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	735		4168	Y	31577		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4169			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Female	575	0 - 25%	4169	Y	31508		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4170			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	565		4170	Y	31511		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4171			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	710		4171	Y	31507		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4172			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	560		4172	Y	31509		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4173			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Female	705	0 - 25%	4173	Y	31510		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4174			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Female	750	0 - 25%	4174	Y	31512		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4175			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	590		4175	Y	31513		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4176			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Female	810	0 - 25%	4176	Y	31514		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4177			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Female	675	0 - 25%	4177	Y	31515		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4178			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	610		4178	Y	31564		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4179			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Female	715	0 - 25%	4179	Y	31525		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4180			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Female	695	0 - 25%	4180	Y	31526	Only 1 Otolith Taken	Spring	17
OtsCC18MCKR	OtsCC18MCKR_4181			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	780		4181	Y	31574		Spring	17
