Pedigree	SFGL_ID	SEQ #	Survey Date	River	Survey Type	Crew Initials	Crew Initials	Start Time	End Time	Water Temp	Reach	Fish ID	Time Collected	Clipped (Y/N)	F.L (cm)	Sex (M/F)	DNA Sampled (Y/N)	Scale Sampled (Y/N)	Otolith (Y/N)	Egg Retention % (F only)	ODFW CWT number	Floy Tag (Y/N)	Floy tag color	Floy tag number	Comments	Entered By	Date Entered	Checked By	Date Checked
OtsCC19MCKR	OtsCC19MCKR_1543	53	9/20/2019	McKenzie	Raft	DA,EP	KH,PH	13:15	16:45	10.8	Rosborro to Ben and Kay	1543	13:40	Y	63	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	23-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_0007	54	9/20/2019	McKenzie	Raft	DA,EP	KH,PH	13:15	16:45	10.8	Rosborro to Ben and Kay	7	14:47	N	84	F	Y	Y	Y	0	N/A	Y	BLUE	1052	Floy tag 1052 and 1053 DNA from adipose- (USACE FLOY - mrm 31 OCT 19)	MRM	23-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2148	55	9/20/2019	McKenzie	Raft	DA,EP	KH,PH	13:15	16:45	10.8	Rosborro to Ben and Kay	2148	15:45	Y	73	F	Y	Y	N	0	N/A	N	N/A	N/A		MRM	23-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2149	56	9/20/2019	McKenzie	Raft	DA,EP	KH,PH	13:15	16:45	10.8	Rosborro to Ben and Kay	2149	15:45	N	86	F	Y	Y	Y	0	N/A	N	N/A	N/A		MRM	23-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2150	57	9/20/2019	McKenzie	Raft	DA,EP	KH,PH	13:15	16:45	10.8	Rosborro to Ben and Kay	2150	15:45	N	100	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MRM	23-Sep-19	EP	13-Oct-19
OtsCC19MCKR	OtsCC19MCKR_0005	58	9/20/2019	McKenzie	Raft	DA,EP	KH,PH	13:15	16:45	10.8	Rosborro to Ben and Kay	5	16:30	Y	76	M	Y	Y	N	N/A	N/A	N	N/A	N/A		MRM	23-Sep-19	EP	13-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2141	59	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2141	9:50	N	81	F	Y	Y	Y	0	N/A	N	N/A	N/A	Spawned out 	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2142	60	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2142	9:50	Y	83	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2143	61	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2143	9:50	N	76	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2144	62	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2144	9:50	Y	79	F	Y	Y	N	100	N/A	N	N/A	N/A	Photos 384-4129,4130	MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2145	63	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2145	9:50	N	89	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_0011	64	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	11	10:44	N	81	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_0012	65	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	12	10:44	Y	84	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_0013	66	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	13	10:44	N	78	F	Y	Y	Y	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_0014	67	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	14	10:44	Y	81	F	Y	N	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_0016	68	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	16	10:44	Y	78	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_0017	69	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	17	10:44	Y	74	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_0018	70	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	18	10:44	Y	77	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_0019	71	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	19	10:44	N	83	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2122	72	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2122	11:19	Y	79	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2121	73	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2121	11:19	Y	72	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2014	74	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2014	11:54	Y	85	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2015	75	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2015	11:54	N	95	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2016	76	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2016	11:54	Y	77	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2017	77	9/25/2019	South Santiam	Raft	BD,PH	CZ.DA	9:50	13:45	11.5	Foster Dam to Pleasant Valley	2017	11:54	Y	75	F	Y	Y	N	0	N/A	N	N/A	N/A		MP	27-Sep-19	MRM	17-Oct-19
